,City,Number_S,Number_E,E/S,Population
0,서울특별시,390,427,1.094871794871795,9805506
1,부산광역시,89,144,1.6179775280898876,3440484
2,대구광역시,56,32,0.5714285714285714,2461002
3,대전광역시,40,21,0.525,1535445
4,광주광역시,40,25,0.625,1501557
5,인천광역시,36,109,3.0277777777777777,2913024
6,성남시,35,28,0.8,951518
7,고양시,27,40,1.4814814814814814,999098
8,울산광역시,21,58,2.761904761904762,1166033
9,수원시,18,41,2.2777777777777777,1207032
10,용인시,17,37,2.176470588235294,982590
11,제주특별자치도,14,12,0.8571428571428571,623332
12,창원시,13,31,2.3846153846153846,1053551
13,청주시,12,23,1.9166666666666667,840338
14,천안시,11,11,1.0,638752
15,부천시,11,37,3.3636363636363638,844043
16,포항시,11,12,1.0909090909090908,510360
17,안양시,9,19,2.111111111111111,582049
18,전주시,8,42,5.25,657766
19,구미시,7,7,1.0,422237
20,경주시,7,17,2.4285714285714284,262769
21,안산시,7,19,2.7142857142857144,743072
22,경산시,7,5,0.7142857142857143,279751
23,광명시,7,8,1.1428571428571428,334361
24,김포시,6,15,2.5,365770
25,진주시,6,16,2.6666666666666665,352807
26,김해시,6,21,3.5,532912
27,남양주시,6,31,5.166666666666667,641589
28,화성시,6,12,2.0,655350
29,의정부시,6,20,3.3333333333333335,424722
30,춘천시,6,19,3.1666666666666665,283027
31,세종특별자치시,6,7,1.1666666666666667,242507
32,이천시,5,6,1.2,214766
33,여수시,5,10,2.0,273925
34,양산시,4,14,3.5,310731
35,목포시,4,10,2.5,237484
36,아산시,4,7,1.75,328287
37,속초시,4,3,0.75,79109
38,원주시,4,11,2.75,337479
39,평택시,4,10,2.5,472254
40,거제시,4,8,2.0,262986
41,하남시,4,10,2.5,195422
42,시흥시,3,19,6.333333333333333,429321
43,순천시,3,10,3.3333333333333335,266519
44,군포시,3,7,2.3333333333333335,284301
45,동두천시,2,2,1.0,98625
46,익산시,2,8,4.0,300929
47,안동시,2,8,4.0,167664
48,군산시,2,10,5.0,276394
49,서산시,2,3,1.5,169643
50,구리시,2,8,4.0,183905
51,오산시,2,2,1.0,215478
52,충주시,2,4,2.0,211890
53,강릉시,2,5,2.5,215977
54,파주시,2,16,8.0,423957
55,김천시,1,2,2.0,139709
56,홍천군,1,3,3.0,66791
57,당진시,1,5,5.0,166043
58,공주시,1,4,4.0,112928
59,광양시,1,5,5.0,144364
60,논산시,1,3,3.0,124202
61,과천시,1,2,2.0,60923
62,통영시,1,3,3.0,136035
63,동해시,1,1,1.0,89527
64,문경시,1,3,3.0,71038
65,여주시,1,3,3.0,110273
66,고성군,1,2,2.0,28984
67,고성군,1,2,2.0,53123
68,포천시,1,9,9.0,162698
69,양주시,1,12,12.0,207009
70,광주시,1,10,10.0,322302
71,사천시,1,2,2.0,112394
72,안성시,1,1,1.0,196362
73,예산군,1,5,5.0,79425
