,City,Number_S,Number_E
0,서울특별시,390,427
1,부산광역시,89,144
2,대구광역시,56,32
3,대전광역시,40,21
4,광주광역시,40,25
5,인천광역시,36,109
6,성남시,35,28
7,고양시,27,40
8,울산광역시,21,58
9,수원시,18,41
10,용인시,17,37
11,제주특별자치도,14,12
12,창원시,13,31
13,청주시,12,23
14,천안시,11,11
15,부천시,11,37
16,포항시,11,12
17,안양시,9,19
18,전주시,8,42
19,구미시,7,7
20,경주시,7,17
21,안산시,7,19
22,경산시,7,5
23,광명시,7,8
24,김포시,6,15
25,진주시,6,16
26,김해시,6,21
27,남양주시,6,31
28,화성시,6,12
29,의정부시,6,20
30,춘천시,6,19
31,세종특별자치시,6,7
32,이천시,5,6
33,여수시,5,10
34,양산시,4,14
35,목포시,4,10
36,아산시,4,7
37,속초시,4,3
38,원주시,4,11
39,평택시,4,10
40,거제시,4,8
41,하남시,4,10
42,시흥시,3,19
43,순천시,3,10
44,군포시,3,7
45,동두천시,2,2
46,익산시,2,8
47,안동시,2,8
48,군산시,2,10
49,서산시,2,3
50,구리시,2,8
51,오산시,2,2
52,충주시,2,4
53,강릉시,2,5
54,파주시,2,16
55,김천시,1,2
56,홍천군,1,3
57,당진시,1,5
58,공주시,1,4
59,광양시,1,5
60,논산시,1,3
61,과천시,1,2
62,통영시,1,3
63,동해시,1,1
64,문경시,1,3
65,여주시,1,3
66,고성군,1,2
67,포천시,1,9
68,양주시,1,12
69,광주시,1,10
70,사천시,1,2
71,안성시,1,1
72,예산군,1,5
